value range: [0.456911,1]
distance matrix with 1003 points, using threshold at enclosing radius 0.788447
persistent homology intervals in dim 0:
 [0,0.57989):  {[995], [454]}
 [0,0.580006):  {[995], [501]}
 [0,0.580037):  {[995], [292]}
 [0,0.580115):  {[995], [859]}
 [0,0.580216):  {[658], [995]}
 [0,0.580256):  {[415], [995]}
 [0,0.580333):  {[239], [995]}
 [0,0.580569):  {[156], [995]}
 [0,0.580786):  {[417], [995]}
 [0,0.580875):  {[995], [779]}
 [0,0.58092):  {[995], [626]}
 [0,0.580993):  {[995], [244]}
 [0,0.581374):  {[995], [992]}
 [0,0.581577):  {[684], [995]}
 [0,0.581634):  {[995], [613]}
 [0,0.581693):  {[995], [993]}
 [0,0.581697):  {[169], [995]}
 [0,0.581727):  {[995], [398]}
 [0,0.581941):  {[995], [824]}
 [0,0.582039):  {[234], [995]}
 [0,0.582096):  {[379], [995]}
 [0,0.582276):  {[735], [995]}
 [0,0.582333):  {[412], [995]}
 [0,0.582567):  {[995], [974]}
 [0,0.582575):  {[995], [814]}
 [0,0.582843):  {[995], [358]}
 [0,0.583356):  {[995], [566]}
 [0,0.583362):  {[995], [606]}
 [0,0.583396):  {[79], [995]}
 [0,0.583569):  {[995], [889]}
 [0,0.583707):  {[995], [478]}
 [0,0.58371):  {[186], [995]}
 [0,0.583902):  {[884], [995]}
 [0,0.584005):  {[995], [837]}
 [0,0.584101):  {[285], [995]}
 [0,0.584105):  {[543], [995]}
 [0,0.584127):  {[177], [995]}
 [0,0.584161):  {[995], [946]}
 [0,0.58417):  {[995], [891]}
 [0,0.584291):  {[995], [512]}
 [0,0.58433):  {[24], [995]}
 [0,0.584353):  {[886], [995]}
 [0,0.585045):  {[390], [995]}
 [0,0.585234):  {[995], [357]}
 [0,0.58524):  {[995], [784]}
 [0,0.585265):  {[995], [817]}
